Name,Adm.,,,,,,
Ang Mo Kio,North East,,,,,,
Bedok,East,,,,,,
Bishan,Central,,,,,,
Bukit Batok,West,,,,,,
Bukit Merah,Central,,,,,,
Bukit Panjang,West,,,,,,
Bukit Timah,Central,,,,,,
Changi,East,,,,,,
Choa Chu Kang,West,,,,,,
Clementi,West,,,,,,
Geylang,Central,,,,,,
Hougang,North East,,,,,,
Jurong East,West,,,,,,
Jurong West,West,,,,,,
Kallang,Central,,,,,,
Marine Parade,Central,,,,,,
Newton,Central,,,,,,
Novena,Central,,,,,,
Outram,Central,,,,,,
Pasir Ris,East,,,,,,
Punggol,North East,,,,,,
Queenstown,Central,,,,,,
River Valley,Central,,,,,,
Rochor,Central,,,,,,
Sembawang,North,,,,,,
Sengkang,North East,,,,,,
Serangoon,North East,,,,,,
Singapore (Downtown Core),Central,,,,,,
Singapore River,Central,,,,,,
Tampines,East,,,,,,
Tanglin,Central,,,,,,
Toa Payoh,Central,,,,,,
Woodlands,North,,,,,,
Yishun,North,,,,,,
