year,flat_type,resale_price
1990,HDB,52500.0
1991,HDB,57000.0
1992,HDB,64000.0
1993,HDB,103000.0
1994,HDB,152000.0
1995,HDB,188000.0
1996,HDB,248000.0
1997,HDB,290000.0
1998,HDB,240000.0
1999,HDB,236000.0
2000,HDB,239000.0
2001,HDB,225000.0
2002,HDB,215000.0
2003,HDB,217000.0
2004,HDB,223500.0
2005,HDB,225000.0
2006,HDB,228000.0
2007,HDB,250000.0
2008,HDB,305000.0
2009,HDB,330000.0
2010,HDB,365944.0
2011,HDB,410000.0
2012,HDB,445000.0
2013,HDB,455000.0
2014,HDB,420000.0
2015,HDB,405000.0
2016,HDB,410000.0
2017,HDB,410000.0
2018,HDB,408000.0
2018,Private,1300000.0
2019,HDB,400000.0
2019,Private,1300000.0
2020,HDB,425000.0
2020,Private,1240000.0
2021,HDB,483000.0
2021,Private,1280000.0
2022,HDB,525000.0
2022,Private,1350000.0
2023,HDB,550000.0
2023,Private,1435000.0
2024,HDB,568000.0
2024,Private,1535000.0
