,year,Features,Importances
0,2000-2003,floor_area_sqm,49.17250262771713
1,2000-2003,cbd_distance,13.149178166603308
2,2000-2003,remaining_lease,10.008103778273812
3,2000-2003,mrtlrt_distance,4.745362728047425
4,2000-2003,school_within_2.0,4.557160063610806
5,2000-2003,hawker_distance,4.246387733500525
6,2000-2003,park_distance,4.037014831762422
7,2000-2003,mall_within_2.0,4.020702289085982
8,2000-2003,supermarket_within_0.5,3.264460125007976
9,2000-2003,bus_within_0.5,2.799127656390588
10,2004-2007,floor_area_sqm,35.838241975557416
11,2004-2007,cbd_distance,13.597725918864905
12,2004-2007,remaining_lease,13.51403800291572
13,2004-2007,mrtlrt_distance,6.704159676597618
14,2004-2007,park_distance,5.3520381458463975
15,2004-2007,school_within_2.0,5.341760627975798
16,2004-2007,mall_within_2.0,5.317137456790231
17,2004-2007,hawker_distance,5.059003843369679
18,2004-2007,supermarket_within_0.5,4.826118579842597
19,2004-2007,bus_within_0.5,4.44977577223964
20,2008-2011,floor_area_sqm,27.924390739472628
21,2008-2011,remaining_lease,16.884297100255715
22,2008-2011,cbd_distance,14.288007660149397
23,2008-2011,mrtlrt_distance,7.039091197000953
24,2008-2011,school_within_2.0,6.32251016392891
25,2008-2011,park_distance,6.138338555177651
26,2008-2011,mall_within_2.0,5.9606322888727945
27,2008-2011,hawker_distance,5.862064938554233
28,2008-2011,supermarket_within_0.5,5.320554460593252
29,2008-2011,bus_within_0.5,4.260112895994459
30,2012-2015,floor_area_sqm,33.61140360476381
31,2012-2015,cbd_distance,16.991165904901223
32,2012-2015,remaining_lease,11.268423555926114
33,2012-2015,school_within_2.0,6.552139957470234
34,2012-2015,mrtlrt_distance,6.3680931220875445
35,2012-2015,hawker_distance,5.496929003084276
36,2012-2015,mall_within_2.0,5.4463288231958416
37,2012-2015,supermarket_within_0.5,5.134851417372971
38,2012-2015,park_distance,4.990100332364252
39,2012-2015,bus_within_0.5,4.140564278833734
40,2016-2019,floor_area_sqm,29.504515497385437
41,2016-2019,cbd_distance,17.325912522564707
42,2016-2019,remaining_lease,13.679991151419143
43,2016-2019,school_within_2.0,7.0481312566286
44,2016-2019,mrtlrt_distance,6.891653348625881
45,2016-2019,hawker_distance,5.623403805921948
46,2016-2019,mall_within_2.0,5.389397383714669
47,2016-2019,park_distance,5.152727751743172
48,2016-2019,supermarket_within_0.5,4.959990450789978
49,2016-2019,bus_within_0.5,4.424276831206476
50,2020-2024,floor_area_sqm,26.950684472689797
51,2020-2024,remaining_lease,18.763426427752144
52,2020-2024,cbd_distance,15.56649600284595
53,2020-2024,mrtlrt_distance,7.494158868937117
54,2020-2024,school_within_2.0,6.005161006423113
55,2020-2024,hawker_distance,5.656696016745517
56,2020-2024,park_distance,5.62107054214907
57,2020-2024,mall_within_2.0,5.175334710596934
58,2020-2024,bus_within_0.5,4.595557393668952
59,2020-2024,supermarket_within_0.5,4.171414558191412
